0:0:0:0:0:0:0:1 - - [23/Apr/2025:09:45:54 +0530] "GET /Job_Portal/userLogin.jsp HTTP/1.1" 200 3125
0:0:0:0:0:0:0:1 - - [23/Apr/2025:09:45:58 +0530] "POST /Job_Portal/UserController HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Apr/2025:09:45:58 +0530] "GET /Job_Portal/userLogin.jsp?error=invalid%20email%20and%20password HTTP/1.1" 200 3206
0:0:0:0:0:0:0:1 - - [23/Apr/2025:09:51:44 +0530] "GET /Job_Portal/userLogin.jsp HTTP/1.1" 200 3125
0:0:0:0:0:0:0:1 - - [23/Apr/2025:09:51:52 +0530] "POST /Job_Portal/UserController HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Apr/2025:09:51:52 +0530] "GET /Job_Portal/userLogin.jsp?error=invalid%20email%20and%20password HTTP/1.1" 200 3206
0:0:0:0:0:0:0:1 - - [23/Apr/2025:09:52:51 +0530] "GET /Job_Portal/userLogin.jsp HTTP/1.1" 200 3125
0:0:0:0:0:0:0:1 - - [23/Apr/2025:09:53:09 +0530] "GET /Job_Portal/home.jsp HTTP/1.1" 200 3595
0:0:0:0:0:0:0:1 - - [23/Apr/2025:09:53:10 +0530] "GET /Job_Portal/companyLogin.jsp HTTP/1.1" 200 3131
0:0:0:0:0:0:0:1 - - [23/Apr/2025:09:53:15 +0530] "POST /Job_Portal/CompanyController HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Apr/2025:09:53:16 +0530] "GET /Job_Portal/jobSeekerDashboard.jsp HTTP/1.1" 200 613
0:0:0:0:0:0:0:1 - - [23/Apr/2025:09:54:43 +0530] "POST /Job_Portal/CompanyController HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Apr/2025:09:54:43 +0530] "GET /Job_Portal/companyDashboard.jsp HTTP/1.1" 200 621
